"county","fips","X1900","X1910","X1920","X1930","X1940","X1950","X1960","X1970","X1980","X1990","X2000","X2010","X2020","X2030"
"Adair",29001,21728,22700,21404,19436,20246,20105,20105,22472,24870,24577,24977,25607,0,0
"Andrew",29003,17332,15282,14075,13469,13015,11062,11062,11913,13980,14632,16492,17291,0,0
"Atchison",29005,16501,13604,13008,13421,12897,9213,9213,9240,8605,7457,6430,5685,0,0
"Audrain",29007,21160,21687,20589,22077,22673,26079,26079,25362,26458,23599,25853,25529,0,0
"Barry",29009,25532,23869,23473,22803,23546,18921,18921,19597,24408,27547,34010,35597,0,0
"Barton",29011,18253,16747,16879,14560,14148,11113,11113,10431,11292,11312,12541,12402,0,0
"Bates",29013,30141,25869,23933,22068,19531,15905,15905,15468,15873,15025,16653,17049,0,0
"Benton",29015,16556,14881,12989,11708,11142,8737,8737,9695,12183,13859,17180,19056,0,0
"Bollinger",29017,14650,14576,13909,12269,12898,9167,9167,8820,10301,10619,12029,12363,0,0
"Boone",29019,28642,30533,29672,30995,34991,55202,55202,80911,100376,112379,135454,162642,0,0
"Buchanan",29021,121838,93020,93684,98633,94067,90581,90581,86915,87888,83083,85998,89201,0,0
"Butler",29023,16769,20624,24106,23697,34276,34656,34656,33529,37693,38765,40867,42794,0,0
"Caldwell",29025,16656,14605,13849,12509,11629,8830,8830,8351,8660,8380,8969,9424,0,0
"Callaway",29027,25984,24400,23007,19923,23094,23858,23858,25850,32252,32809,40766,44332,0,0
"Camden",29029,13113,11582,10474,9142,8971,9116,9116,13315,20017,27495,37051,44002,0,0
"Cape_Girardeau",29031,24315,27621,29839,33203,37775,42020,42020,49350,58837,61633,68693,75674,0,0
"Carroll",29033,26455,23098,20480,19940,17814,13847,13847,12565,12131,10748,10285,9295,0,0
"Carter",29035,6706,5504,7482,5503,6226,3973,3973,3878,5428,5515,5941,6265,0,0
"Cass",29037,23636,22973,21536,20962,19534,29702,29702,39448,51029,63808,82092,99478,0,0
"Cedar",29039,16923,16080,13933,11136,11697,9185,9185,9424,11894,12093,13733,13982,0,0
"Chariton",29041,26826,23503,21769,19588,18084,12720,12720,11084,10489,9202,8438,7831,0,0
"Christian",29043,16939,15832,15252,13169,13538,12359,12359,15124,22402,32644,54285,77422,0,0
"Clark",29045,15383,12811,11874,10254,10166,8725,8725,8260,8493,7547,7416,7139,0,0
"Clay",29047,18903,20302,20455,26811,30417,87474,87474,123702,136488,153411,184006,221939,0,0
"Clinton",29049,17363,15297,14461,13505,13261,11588,11588,12462,15916,16595,18979,20743,0,0
"Cole",29051,20578,21957,24680,30848,34912,40761,40761,46228,56663,63579,71397,75990,0,0
